company_name,ticker
Reliance Industries Limited,RELIANCE.NS
Tata Consultancy Services Limited,TCS.NS
HDFC Bank Limited,HDFCBANK.NS
ICICI Bank Limited,ICICIBANK.NS
Infosys Limited,INFY.NS
Hindustan Unilever Limited,HINDUNILVR.NS
State Bank of India,SBIN.NS
Bharti Airtel Limited,BHARTIARTL.NS
ITC Limited,ITC.NS
Kotak Mahindra Bank Limited,KOTAKBANK.NS
Larsen & Toubro Limited,LT.NS
Axis Bank Limited,AXISBANK.NS
Bajaj Finance Limited,BAJFINANCE.NS
Asian Paints Limited,ASIANPAINT.NS
Maruti Suzuki India Limited,MARUTI.NS
HCL Technologies Limited,HCLTECH.NS
Sun Pharmaceutical Industries Limited,SUNPHARMA.NS
Titan Company Limited,TITAN.NS
UltraTech Cement Limited,ULTRACEMCO.NS
Wipro Limited,WIPRO.NS
Nestle India Limited,NESTLEIND.NS
Bajaj Finserv Limited,BAJAJFINSV.NS
Adani Enterprises Limited,ADANIENT.NS
Adani Ports and Special Economic Zone Limited,ADANIPORTS.NS
Power Grid Corporation of India Limited,POWERGRID.NS
NTPC Limited,NTPC.NS
Mahindra & Mahindra Limited,M&M.NS
JSW Steel Limited,JSWSTEEL.NS
Tata Motors Limited,TATAMOTORS.NS
Tata Steel Limited,TATASTEEL.NS
Coal India Limited,COALINDIA.NS
IndusInd Bank Limited,INDUSINDBK.NS
Grasim Industries Limited,GRASIM.NS
Hindalco Industries Limited,HINDALCO.NS
Dr. Reddy's Laboratories Limited,DRREDDY.NS
Cipla Limited,CIPLA.NS
Britannia Industries Limited,BRITANNIA.NS
Eicher Motors Limited,EICHERMOT.NS
Divi's Laboratories Limited,DIVISLAB.NS
Apollo Hospitals Enterprise Limited,APOLLOHOSP.NS
Bajaj Auto Limited,BAJAJ-AUTO.NS
SBI Life Insurance Company Limited,SBILIFE.NS
HDFC Life Insurance Company Limited,HDFCLIFE.NS
Tech Mahindra Limited,TECHM.NS
Shriram Finance Limited,SHRIRAMFIN.NS
Bharat Petroleum Corporation Limited,BPCL.NS
Oil and Natural Gas Corporation Limited,ONGC.NS
Tata Consumer Products Limited,TATACONSUM.NS
Trent Limited,TRENT.NS
Adani Green Energy Limited,ADANIGREEN.NS
LTIMindtree Limited,LTIM.NS
